,latitud,longitud,property_rooms,property_surface_total,property_type_Departamento,property_type_PH
7474,-34.6341563,-58.3712492,5.0,115.0,1,0
293941,-34.6137203,-58.4930435,3.0,94.6,1,0
318936,-34.5782243,-58.4354179,2.0,46.0,1,0
402167,-34.6130134905,-58.4516559772,2.0,63.0,0,1
194403,-34.58599854,-58.45443726,2.0,35.0,1,0
298857,-34.5797648,-58.4358085,3.0,80.0,1,0
143805,-34.59205074122448,-58.4540836650272,2.0,65.0,1,0
287358,-34.6087434,-58.3886491,1.0,50.0,1,0
389079,-34.6144667,-58.5069265,3.0,89.0,0,1
321639,-34.5666566,-58.4952343,2.0,50.0,1,0
334730,-34.5784115,-58.4900097,2.0,61.0,1,0
145047,-34.6587753,-58.4766694,4.0,180.0,0,1
6529,-34.6038767,-58.4931629,1.0,33.0,1,0
170439,-34.5974321,-58.4417524,3.0,82.4,1,0
298240,-34.6039465054,-58.4999584346,2.0,52.0,1,0
370781,-34.550015,-58.4636976,1.0,63.0,1,0
321087,-34.5921189142,-58.4043517545,4.0,109.0,1,0
272818,-34.609907,-58.384775,2.0,40.0,1,0
375791,-34.5733813,-58.4511039,3.0,54.0,1,0
272469,-34.5973693526,-58.491696519,3.0,75.0,1,0
362482,-34.5840833,-58.3994413,4.0,144.4,1,0
238228,-34.59157633864167,-58.45289459711376,2.0,56.0,1,0
102831,-34.571166,-58.4306967,4.0,106.0,1,0
88143,-34.5694656,-58.4809837,3.0,63.0,1,0
290968,-34.602038,-58.4349293,3.0,77.0,1,0
354325,-34.5517629,-58.4856823,2.0,44.0,1,0
36988,-34.6248648,-58.3769236,2.0,49.0,1,0
252532,-34.6193355,-58.4281642,3.0,65.0,1,0
216468,-34.5533403,-58.462353,2.0,46.0,1,0
185350,-34.6255965,-58.373323,2.0,44.0,1,0
56746,-34.5874955,-58.3989185,4.0,117.0,1,0
256292,-34.5833175,-58.4044654,4.0,92.0,1,0
186838,-34.5896045792687,-58.4485247440354,3.0,103.0,1,0
56143,-34.5817084268,-58.4236621857,2.0,47.0,1,0
64358,-34.6440095,-58.5224206,4.0,122.0,0,0
257016,-34.5874486,-58.4049047,2.0,34.0,1,0
226306,-34.566629,-58.450631,2.0,31.0,1,0
392438,-34.6023841,-58.4224559,2.0,45.0,1,0
218428,-34.5845219,-58.4134053,4.0,103.0,1,0
239813,-34.6466455,-58.4553537,2.0,26.0,1,0
164166,-34.6133247,-58.3884462,3.0,68.0,1,0
142028,-34.558074,-58.4530498,3.0,76.0,1,0
238147,-34.5540822971,-58.4711319208,2.0,56.0,1,0
257470,-34.630688,-58.4522646,3.0,71.0,1,0
418896,-34.589881319574175,-58.44982114767984,3.0,144.2,1,0
269164,-34.6018262,-58.4369967,3.0,56.0,1,0
57703,-34.5644774,-58.4562135,1.0,45.0,1,0
403219,-34.6273752,-58.4547653,2.0,52.0,1,0
345899,-34.5501439,-58.4701492,3.0,86.3,1,0
